Date,Open,High,Low,Close,Adj Close,Volume,,
"November 06, 2020",12.635,12.635,12.635,12.635,12.465469,200,,
"November 09, 2020",12.635,12.635,12.635,12.635,12.465469,0,,
"November 10, 2020",12.635,12.635,12.635,12.635,12.465469,0,,
"November 11, 2020",14.15,14.15,14.15,14.15,13.960141,600,,
"November 12, 2020",15.91,15.91,15.91,15.91,15.696527,200,,
"November 13, 2020",15.91,15.91,15.91,15.91,15.696527,0,,
"November 16, 2020",14.895,14.895,14.179,14.179,13.988752,700,,
"November 17, 2020",15.32,15.88,15.32,15.88,15.666929,300,,
"November 18, 2020",15.19,15.19,15.19,15.19,14.986187,1200,,
"November 19, 2020",14.92,14.923,14.92,14.92,14.71981,500,,
"November 20, 2020",16.285,17.209999,16.285,17.209999,16.979084,700,,
"November 23, 2020",17.395,17.395,17.395,17.395,17.161602,1900,,
"November 24, 2020",17.395,17.395,17.395,17.395,17.161602,0,,
"November 25, 2020",16.98,16.98,16.98,16.98,16.752171,200,,
"November 27, 2020",16.849001,16.849001,16.849001,16.849001,16.622929,200,,
"November 30, 2020",16.82,16.82,16.82,16.82,16.594316,200,,
"December 01, 2020",16.82,16.82,16.82,16.82,16.594316,0,,
"December 02, 2020",16.82,16.82,16.82,16.82,16.594316,0,,
"December 03, 2020",15.6,15.6,15.6,15.6,15.390687,500,,
"December 04, 2020",17.4,17.4,17.4,17.4,17.166534,100,,
"December 07, 2020",15.943,15.943,15.943,15.943,15.729084,200,,
"December 08, 2020",15.943,15.943,15.943,15.943,15.729084,0,,
"December 09, 2020",16,17,16,17,16.771902,6700,,
"December 10, 2020",17,17,17,17,16.771902,0,,
"December 11, 2020",17,17,17,17,16.771902,0,,
"December 14, 2020",17,17,17,17,16.771902,0,,
"December 15, 2020",17,17,17,17,16.771902,0,,
"December 16, 2020",17.915001,17.915001,17.915001,17.915001,17.674625,200,,
"December 17, 2020",16.101,17.938,16.101,17.938,17.697315,800,,
"December 18, 2020",17.938,17.938,17.938,17.938,17.697315,0,,
"December 21, 2020",17.399,17.399,17.399,17.399,17.165548,100,,
"December 22, 2020",17.399,17.399,17.399,17.399,17.165548,0,,
"December 23, 2020",17.399,17.399,17.399,17.399,17.165548,0,,
"December 24, 2020",17.399,17.399,17.399,17.399,17.165548,0,,
"December 28, 2020",17.399,17.399,17.399,17.399,17.165548,0,,
"December 29, 2020",15.81,15.81,15.81,15.81,15.597869,200,,
"December 30, 2020",15.81,16.9,15.81,16.9,16.673243,1300,,
"December 31, 2020",16.9,16.9,16.9,16.9,16.673243,0,,
"January 04, 2021",18.278999,18.278999,18.278999,18.278999,18.033741,200,,
"January 05, 2021",18.278999,18.278999,18.278999,18.278999,18.033741,0,,
"January 06, 2021",15.69,15.69,15.69,15.69,15.479478,200,,
"January 07, 2021",15.69,15.69,15.69,15.69,15.479478,0,,
"January 08, 2021",16.809999,16.809999,16.610001,16.610001,16.387135,600,,
"January 11, 2021",18.66,18.66,18.66,18.66,18.409628,300,,
"January 12, 2021",16.568001,18,16.568001,18,17.758484,300,,
"January 13, 2021",18,18,18,18,17.758484,0,,
"January 14, 2021",18,18,18,18,17.758484,0,,
"January 15, 2021",17.799999,17.799999,17.799999,17.799999,17.561167,200,,
"January 19, 2021",16.462999,18,16.459999,16.605,16.382202,1600,,
"January 20, 2021",16.01,16.209999,16.01,16.209999,15.9925,300,,
"January 21, 2021",16.18,18,16.18,18,17.758484,500,,
"January 22, 2021",17.610001,17.610001,16.379,16.379,16.159233,300,,
"January 25, 2021",16.379,16.379,16.379,16.379,16.159233,0,,
"January 26, 2021",14.86,14.863,14.86,14.863,14.663575,2900,,
"January 27, 2021",14.863,14.863,14.863,14.863,14.663575,0,,
"January 28, 2021",16.34,16.34,16.34,16.34,16.120758,8500,,
"January 29, 2021",15.915,15.915,15.02,15.02,14.818469,400,,
"February 01, 2021",15.023,16.959999,15.02,16.959999,16.732437,1500,,
